arm,task_id,episode_id,label,rationale
head,327,649845,partial,"Arm approaches the fruit shelf, but pear pickup is not visually established."
head,351,815564,clear,"Right-arm motion is directed to the wardrobe handle with visible contact/progress."
head,352,653349,clear,"Left arm approaches the refrigerator and the door opening changes visibly."
head,354,653079,partial,"Arm moves into the requested shelf region, but retrieval is not established."
head,357,682270,clear,"Both arms engage the dishwasher and lid motion/progress is visible."
head,359,653436,partial,"Arm approaches the plastic-bin compartment without a clearly established retrieval."
head,360,664755,clear,"Left arm tracks the gray felt bag and visible grasp-directed progress occurs."
head,361,670614,clear,"Both arms move over the green shorts in a smoothing/spreading pattern."
head,362,668888,clear,"Arms manipulate the shorts and the garment configuration changes consistently with folding."
head,363,788193,partial,"Right hand targets the drawer handle, but drawer opening is not clearly established."
head,365,688955,clear,"Left arm moves to the yellow-soap compartment with target-directed interaction."
head,366,669938,clear,"Left arm reaches the specified lower-left egg compartment with visible progress."
head,367,651524,clear,"Left arm targets the toast/toaster area and the toast configuration changes."
head,368,662740,clear,"Right arm reaches the oil brush and produces target-directed dish-area motion."
head,369,768487,partial,"Arm moves at the washer handle, but additional door opening is ambiguous."
head,372,664635,partial,"Left arm approaches the red canvas tote, but grasp is not established."
head,373,764665,clear,"Left arm moves directly to the dustpan and visible interaction occurs."
head,374,648543,clear,"Left arm reaches the upper-left pink-toothbrush compartment with visible progress."
head,375,650509,clear,"Right arm moves to and lifts toward the beige teapot."
head,376,650845,clear,"Left arm targets and visibly displaces the smart-charger region."
canvas,327,649845,clear,"Multiview rollout shows arm-to-pear approach and visible fruit pickup/progress."
canvas,351,815564,clear,"Right-arm/hand views show directed contact at the wardrobe handle."
canvas,352,653349,clear,"Head and wrist views jointly show refrigerator-door opening progress."
canvas,354,653079,partial,"Arm approaches the requested shelf region, but retrieval remains ambiguous."
canvas,357,682270,clear,"Head and wrist views show dishwasher-lid engagement and visible progress."
canvas,359,653436,clear,"Wrist views show directed interaction with the plastic storage bin."
canvas,360,664755,clear,"Left wrist/head views consistently track and approach the gray felt bag."
canvas,361,670614,clear,"Both wrist views show coordinated smoothing/spreading over the shorts."
canvas,362,668888,clear,"Both arms manipulate the garment with a visible fold-like configuration change."
canvas,363,788193,partial,"Right wrist targets the drawer handle, but opening is not clearly established."
canvas,365,688955,clear,"Left wrist and head views show target-directed yellow-soap interaction."
canvas,366,669938,clear,"Left wrist view confirms interaction at the specified egg compartment."
canvas,367,651524,clear,"Multiview evidence shows toast/toaster-directed manipulation."
canvas,368,662740,clear,"Right wrist confirms oil-brush-directed motion and dish-area interaction."
canvas,369,768487,partial,"Hand reaches the washer door, but new opening progress is ambiguous."
canvas,372,664635,clear,"Left wrist shows direct approach/contact with the red canvas tote."
canvas,373,764665,clear,"Left wrist/head views show direct dustpan interaction."
canvas,374,648543,clear,"Left wrist confirms the pink-toothbrush compartment interaction."
canvas,375,650509,clear,"Right wrist/head views show directed motion at the beige teapot."
canvas,376,650845,clear,"Left wrist confirms target-directed smart-charger retrieval progress."
